epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.24988681077957153,1.83981192111969,1e-04,0.2525787651538849,1.8296513557434082
1,0.308292418718338,1.742089033126831,1e-04,0.36506831645965576,1.666181206703186
2,0.3710862696170807,1.6337590217590332,1e-04,0.3989406228065491,1.5863479375839233
3,0.3966844379901886,1.578389048576355,1e-04,0.41051018238067627,1.538008213043213
4,0.41792917251586914,1.5274698734283447,1e-04,0.41761916875839233,1.5169192552566528
5,0.4394873380661011,1.4885501861572266,1e-04,0.44605520367622375,1.4502896070480347
6,0.4512241780757904,1.4510246515274048,1e-04,0.4661276936531067,1.418176293373108
7,0.4663392901420593,1.4160898923873901,1e-04,0.4744912087917328,1.3977525234222412
8,0.4762999415397644,1.3904129266738892,1e-04,0.48536381125450134,1.3639518022537231
9,0.4891860783100128,1.3630114793777466,1e-04,0.4942849278450012,1.3440337181091309
10,0.4985198378562927,1.3398064374923706,1e-04,0.4938667416572571,1.3262790441513062
11,0.5041618943214417,1.3282839059829712,1e-04,0.5041817426681519,1.3142589330673218
12,0.5111621618270874,1.3052875995635986,1e-04,0.5179815888404846,1.2923896312713623
13,0.5204262733459473,1.287909984588623,1e-04,0.5199331045150757,1.2728066444396973
14,0.5252673029899597,1.2759968042373657,1e-04,0.5220239758491516,1.272680640220642
15,0.530874490737915,1.2597730159759521,1e-04,0.5312238931655884,1.2461503744125366
16,0.5342527627944946,1.245564579963684,1e-04,0.5317814350128174,1.2379132509231567
17,0.5424023866653442,1.2323492765426636,1e-04,0.5383328795433044,1.2346349954605103
18,0.5472782254219055,1.2193403244018555,1e-04,0.5433509945869446,1.2223566770553589
19,0.5497509837150574,1.2107964754104614,1e-04,0.5486478805541992,1.2086552381515503
20,0.554452657699585,1.201637625694275,1e-04,0.5565932393074036,1.2023534774780273
21,0.5575175285339355,1.1901278495788574,1e-04,0.5515751242637634,1.2014451026916504
22,0.5623933672904968,1.1823530197143555,9.5999996e-05,0.5575690269470215,1.1901274919509888
23,0.5644481778144836,1.175680160522461,9.5999996e-05,0.5602174401283264,1.1844853162765503
24,0.5634381771087646,1.1688717603683472,9.5999996e-05,0.5699748992919922,1.1709771156311035
25,0.5747570991516113,1.1552560329437256,9.5999996e-05,0.564399242401123,1.1799598932266235
26,0.5756626129150391,1.150647521018982,9.5999996e-05,0.5709506273269653,1.1668751239776611
27,0.5724236369132996,1.1518185138702393,9.5999996e-05,0.5627264976501465,1.178035020828247
28,0.5775084495544434,1.1395901441574097,9.5999996e-05,0.5738778710365295,1.154101848602295
29,0.5815832614898682,1.1334660053253174,9.5999996e-05,0.5717869997024536,1.1505900621414185
30,0.5858321785926819,1.1204336881637573,9.5999996e-05,0.5742960572242737,1.1439342498779297
31,0.5887228846549988,1.120845079421997,9.5999996e-05,0.5864232182502747,1.1363506317138672
32,0.5907428860664368,1.1141053438186646,9.5999996e-05,0.5815444588661194,1.1384060382843018
33,0.594782829284668,1.1015746593475342,9.5999996e-05,0.5800111293792725,1.1329216957092285
34,0.5974645614624023,1.0990726947784424,9.5999996e-05,0.5815444588661194,1.1325162649154663
35,0.5975342392921448,1.0914783477783203,9.5999996e-05,0.5802899599075317,1.1321614980697632
36,0.6012259125709534,1.0845823287963867,9.5999996e-05,0.5860050320625305,1.1227284669876099
37,0.6012955904006958,1.082803726196289,9.5999996e-05,0.5867019891738892,1.1270167827606201
38,0.5989969968795776,1.0804613828659058,9.5999996e-05,0.5899080038070679,1.1204726696014404
39,0.6065893769264221,1.0723289251327515,9.5999996e-05,0.5952048897743225,1.109786868095398
40,0.6092014312744141,1.069625973701477,9.5999996e-05,0.5919988751411438,1.110913872718811
41,0.6088531613349915,1.0594042539596558,9.5999996e-05,0.5952048897743225,1.114279866218567
42,0.6150872707366943,1.0538029670715332,9.5999996e-05,0.5925564765930176,1.1079678535461426
43,0.6137638092041016,1.0532664060592651,9.5999996e-05,0.5959018468856812,1.1042033433914185
44,0.6167589426040649,1.0416940450668335,9.215999e-05,0.5985503196716309,1.1010358333587646
45,0.6238985657691956,1.0337125062942505,9.215999e-05,0.5919988751411438,1.097942590713501
46,0.6180475950241089,1.040933609008789,9.215999e-05,0.5972957611083984,1.0961638689041138
47,0.6230975389480591,1.0343387126922607,9.215999e-05,0.5886534452438354,1.1132816076278687
48,0.6265106201171875,1.0240821838378906,9.215999e-05,0.6052411198616028,1.07974374294281
